DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2024,1819350.87,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2017,14365836.92,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2018,12694051.55,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2019,9004415.05,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2020,5924802.45,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2021,7408362.81,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2022,13400527.92,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2023,20513188.11,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,7,_Z,422,2024,13219980.77,,,,0,7,PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF,Lebanon,422
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,8,_Z,830,2017,1267.0,,,,0,8,RAW HIDES AND SKINS LEATHER FURSKINS AND ARTICLES THEREOF; SADDLERY AND HARNESS; TRAVEL GOODS HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILK-WORM GUT),,
