DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,QUARTER,QGDP_SYS,QGDP_UNIT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2013,4.274073,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2014,3.063489,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2015,0.843893,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2016,1.187352,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2017,7.7,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2018,6.4,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2019,-4.8,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2020,-13.2,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2021,18.9,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2022,20.5,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2023,13.1,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,MAN,Q3,CUR,GWTH_RATE,2024,4.8,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,HUM,Q4,CUR,VAL,2012,3710,,,,0
